FEATURE_NAME	S1_control	S2_control	S3_control	S4_KO	S5_KO	S6_KO
DDX11L1	0	2	4	10	12	15
WASH7P	1	3	5	11	13	16
FAM138A	2	4	6	12	14	17
FAM138F	3	5	7	13	15	18
OR4F5	4	6	8	14	16	19
LOC729737	5	7	9	15	17	20
LOC100132287	6	8	10	16	18	21
LOC100132062	7	9	11	17	19	22
LOC100133331	8	10	12	18	20	23
OR4F29	9	11	13	19	21	24
OR4F16	10	12	14	20	22	25
OR4F3	11	13	15	21	23	26
LOC100288069	12	14	16	22	24	27
LINC00115	13	15	17	23	25	28
LOC643837	14	16	18	24	26	29
FAM41C	15	17	19	25	27	30
LOC100130417	16	18	20	26	28	31
SAMD11	17	19	21	27	29	32
NOC2L	18	20	22	28	30	33
KLHL17	19	21	23	29	31	34
PLEKHN1	20	22	24	30	32	35
C1orf170	21	23	25	31	33	36
HES4	22	24	26	32	34	37
ISG15	23	25	27	33	35	38
AGRN	24	26	28	34	36	39
RNF223	25	27	29	35	37	40
C1orf159	26	28	30	36	38	41
LOC254099	27	29	31	37	39	42
MIR200B	28	30	32	38	40	43
MIR200A	29	31	33	39	41	44
MIR429	30	32	34	40	42	45
TTLL10	31	33	35	41	43	46
TNFRSF18	32	34	36	42	44	47
TNFRSF4	33	35	37	43	45	48
SDF4	34	36	38	44	46	49
B3GALT6	35	37	39	45	47	50
FAM132A	36	38	40	46	48	51
UBE2J2	37	39	41	47	49	52
SCNN1D	38	40	42	48	50	53
ACAP3	39	41	43	49	51	54
PUSL1	40	42	44	50	52	55
CPSF3L	41	43	45	51	53	56
GLTPD1	42	44	46	52	54	57
TAS1R3	43	45	47	53	55	58
DVL1	44	46	48	54	56	59
MXRA8	45	47	49	55	57	60
AURKAIP1	46	48	50	56	58	61
CCNL2	47	49	51	57	59	62
LOC148413	48	50	52	58	60	63
MRPL20	49	51	53	59	61	64
ANKRD65	50	52	54	60	62	65
TMEM88B	51	53	55	61	63	66
VWA1	52	54	56	62	64	67
ATAD3C	53	55	57	63	65	68
ATAD3B	54	56	58	64	66	69
ATAD3A	55	57	59	65	67	70
TMEM240	56	58	60	66	68	71
SSU72	57	59	61	67	69	72
C1orf233	58	60	62	68	70	73
MIB2	59	61	63	69	71	74
MMP23B	60	62	64	70	72	75
MMP23A	61	63	65	71	73	76
CDK11B	62	64	66	72	74	77
SLC35E2B	63	65	67	73	75	78
CDK11A	64	66	68	74	76	79
SLC35E2	65	67	69	75	77	80
NADK	66	68	70	76	78	81
GNB1	67	69	71	77	79	82
CALML6	68	70	72	78	80	83
TMEM52	69	71	73	79	81	84
KIAA1751	70	72	74	80	82	85
GABRD	71	73	75	81	83	86
PRKCZ	72	74	76	82	84	87
C1orf86	73	75	77	83	85	88
SKI	74	76	78	84	86	89
MORN1	75	77	79	85	87	90
LOC100129534	76	78	80	86	88	91
RER1	77	79	81	87	89	92
PEX10	78	80	82	88	90	93
PLCH2	79	81	83	89	91	94
PANK4	80	82	84	90	92	95
HES5	81	83	85	91	93	96
LOC115110	82	84	86	92	94	97
LOC100133445	83	85	87	93	95	98
TNFRSF14	84	86	88	94	96	99
FAM213B	85	87	89	95	97	100
MMEL1	86	88	90	96	98	101
TTC34	87	89	91	97	99	102
ACTRT2	88	90	92	98	100	103
FLJ42875	89	91	93	99	101	104
PRDM16	90	92	94	100	102	105
MIR4251	91	93	95	101	103	106
ARHGEF16	92	94	96	102	104	107
MEGF6	93	95	97	103	105	108
MIR551A	94	96	98	104	106	109
TPRG1L	95	97	99	105	107	110
WRAP73	96	98	100	106	108	111
TP73	97	99	101	107	109	112
TP73-AS1	98	100	102	108	110	113
CCDC27	99	101	103	109	111	114
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
